,t/ms,U/mV
0,0,-40
1,0.1,-54.0212
2,0.2,-61.9671
3,0.3,-67.3685
4,0.375,-70.2367
5,0.475,-72.7505
6,0.575,-74.1755
7,0.675,-74.9407
8,0.775,-75.3389
9,0.875,-75.5379
10,0.975,-75.6279
11,1.1,-75.658
12,1.2,-75.6458
13,1.3,-75.6151
14,1.4,-75.5727
15,1.5,-75.5227
16,1.6,-75.4672
17,1.7,-75.4076
18,1.8,-75.3447
19,1.9,-75.279
20,2,-75.2109
21,2.1,-75.1404
22,2.2,-75.0679
23,2.3,-74.9933
24,2.4,-74.9167
25,2.5,-74.8382
26,2.6,-74.7578
27,2.7,-74.6755
28,2.8,-74.5915
29,2.9,-74.5056
30,3,-74.418
31,3.1,-74.3287
32,3.2,-74.2378
33,3.3,-74.1452
34,3.4,-74.051
35,3.5,-73.9552
36,3.6,-73.858
37,3.7,-73.7593
38,3.8,-73.6592
39,3.9,-73.5578
40,4,-73.4551
41,4.1,-73.3511
42,4.2,-73.246
43,4.3,-73.1397
44,4.4,-73.0324
45,4.5,-72.9241
46,4.6,-72.8149
47,4.7,-72.7048
48,4.8,-72.5939
49,4.875,-72.5103
50,4.975,-72.3982
51,5.075,-72.2855
52,5.175,-72.1722
53,5.275,-72.0585
54,5.375,-71.9443
55,5.475,-71.8298
56,5.575,-71.715
57,5.675,-71.6
58,5.775,-71.4848
59,5.875,-71.3696
60,5.975,-71.2544
61,6.075,-71.1391
62,6.175,-71.024
63,6.275,-70.909
64,6.375,-70.7943
65,6.475,-70.6798
66,6.575,-70.5657
67,6.675,-70.4519
68,6.775,-70.3386
69,6.875,-70.2257
70,6.975,-70.1134
71,7.075,-70.0017
72,7.175,-69.8906
73,7.275,-69.7801
74,7.375,-69.6704
75,7.475,-69.5614
76,7.575,-69.4531
77,7.675,-69.3457
78,7.775,-69.2392
79,7.875,-69.1335
80,7.975,-69.0288
81,8.075,-68.925
82,8.175,-68.8222
83,8.275,-68.7204
84,8.375,-68.6196
85,8.475,-68.5199
86,8.575,-68.4212
87,8.675,-68.3236
88,8.775,-68.2271
89,8.875,-68.1318
90,8.975,-68.0375
91,9.075,-67.9445
92,9.175,-67.8526
93,9.275,-67.7619
94,9.375,-67.6724
95,9.475,-67.5841
96,9.575,-67.497
97,9.675,-67.4111
98,9.775,-67.3265
99,9.875,-67.2431
100,9.975,-67.1609
101,10.075,-15.7164
102,10.175,49.1572
103,10.275,68.6222
104,10.375,61.0201
105,10.475,56.6901
106,10.575,53.2454
107,10.675,49.525
108,10.775,45.3648
109,10.875,40.8496
110,10.975,36.1197
111,11.075,31.3101
112,11.175,26.5309
113,11.275,21.8639
114,11.375,17.3656
115,11.475,13.0726
116,11.575,9.0068
117,11.675,5.17961
118,11.775,1.59577
119,11.875,-1.74424
120,11.975,-4.84248
121,12.075,-28.7392
122,12.175,-38.3576
123,12.275,-44.7119
124,12.375,-51.245
125,12.475,-58.3929
126,12.575,-65.561
127,12.675,-71.2221
128,12.775,-74.4087
129,12.875,-75.7444
130,12.975,-76.2137
131,13.075,-76.359
132,13.175,-76.3913
133,13.275,-76.3838
134,13.375,-76.3612
135,13.475,-76.3323
136,13.575,-76.3001
137,13.675,-76.2658
138,13.775,-76.2296
139,13.875,-76.1919
140,13.975,-76.1525
141,14.075,-76.1116
142,14.175,-76.0691
143,14.275,-76.025
144,14.375,-75.9792
145,14.475,-75.9318
146,14.575,-75.8826
147,14.675,-75.8317
148,14.775,-75.779
149,14.875,-75.7246
150,14.975,-75.6683
151,15.075,-75.6103
152,15.175,-75.5504
153,15.275,-75.4886
154,15.375,-75.425
155,15.475,-75.3595
156,15.575,-75.2922
157,15.675,-75.2229
158,15.775,-75.1518
159,15.875,-75.0788
160,15.975,-75.0039
161,16.075,-74.9272
162,16.175,-74.8487
163,16.275,-74.7682
164,16.375,-74.686
165,16.475,-74.602
166,16.575,-74.5162
167,16.675,-74.4287
168,16.775,-74.3395
169,16.875,-74.2486
170,16.975,-74.1561
171,17.075,-74.0619
172,17.175,-73.9663
173,17.275,-73.8691
174,17.375,-73.7704
175,17.475,-73.6703
176,17.575,-73.5689
177,17.675,-73.4662
178,17.775,-73.3622
179,17.875,-73.257
180,17.975,-73.1507
181,18.075,-73.0433
182,18.175,-72.9349
183,18.275,-72.8255
184,18.375,-72.7153
185,18.475,-72.6042
186,18.575,-72.4924
187,18.675,-72.38
188,18.8,-72.2385
189,18.9,-72.1247
190,19,-72.0105
191,19.1,-71.8958
192,19.2,-71.7808
193,19.3,-71.6655
194,19.4,-71.5501
195,19.5,-71.4344
196,19.6,-71.3187
197,19.7,-71.203
198,19.8,-71.0873
199,19.9,-70.9718
200,20,-70.8563
201,20.1,-70.7411
202,20.2,-70.6262
203,20.3,-70.5116
204,20.4,-70.3974
205,20.5,-70.2836
206,20.6,-70.1703
207,20.7,-70.0575
208,20.8,-69.9453
209,20.9,-69.8337
210,21,-69.7228
211,21.1,-69.6125
212,21.2,-69.503
213,21.3,-69.3943
214,21.4,-69.2864
215,21.5,-69.1793
216,21.6,-69.0731
217,21.7,-68.9678
218,21.8,-68.8634
219,21.9,-68.76
220,22,-68.6576
221,22.1,-68.5562
222,22.2,-68.4558
223,22.3,-68.3565
224,22.4,-68.2583
225,22.5,-68.1611
226,22.6,-68.0651
227,22.7,-67.9701
228,22.8,-67.8764
229,22.9,-67.7837
230,23,-67.6923
231,23.1,-67.602
232,23.2,-67.5129
233,23.3,-67.425
234,23.4,-67.3383
235,23.5,-67.2528
236,23.6,-67.1686
237,23.7,-67.0856
238,23.8,-67.0038
239,23.9,-66.9232
240,24,-66.844
241,24.1,-66.766
242,24.2,-66.6892
243,24.3,-66.6137
